X_UTM,Y_UTM,ELEV_M,SUR_METHOD,QUAD_NAME
554399.78,2826322.09,3.05,Truck,Goulds
554439.36,2827693.90,2.71,Truck,Goulds
554461.60,2826056.00,2.85,Truck,Goulds
554482.48,2824830.05,2.94,Truck,Goulds
554488.14,2824419.84,2.96,Truck,Goulds
554512.76,2823596.58,1.94,Truck,Goulds
554523.21,2821963.19,3.21,Truck,Goulds
554518.00,2822787.06,2.81,Truck,Goulds
554531.99,2821557.52,2.85,Truck,Goulds
554128.63,2821144.47,2.43,Truck,Goulds
554538.24,2821150.72,3.42,Truck,Goulds
554547.86,2820748.40,2.78,Truck,Goulds
554613.43,2830336.47,2.51,Truck,Goulds
554696.74,2834261.87,2.54,Truck,Goulds
554692.29,2831387.18,2.86,Truck,Goulds
554716.57,2833864.40,2.65,Truck,Goulds
554729.55,2830953.72,2.91,Truck,Goulds
554736.84,2833055.86,3.25,Truck,Goulds
554725.14,2833453.91,2.76,Truck,Goulds
554754.39,2832647.99,2.86,Truck,Goulds
554776.84,2832224.49,2.92,Truck,Goulds
554790.56,2831827.29,2.90,Truck,Goulds
554846.89,2828905.67,2.49,Truck,Goulds
554854.82,2828456.86,3.36,Truck,Goulds
554861.43,2828085.58,3.06,Truck,Goulds
554862.71,2827725.04,2.90,Truck,Goulds
554881.75,2826806.68,3.07,Truck,Goulds
554870.99,2827317.32,3.36,Truck,Goulds
554892.45,2826052.83,3.10,Truck,Goulds
554879.37,2826409.20,3.26,Truck,Goulds
554891.35,2825698.10,3.04,Truck,Goulds
554908.38,2824437.27,3.05,Truck,Goulds
554882.02,2825246.05,2.26,Truck,Goulds
554895.74,2824837.24,2.94,Truck,Goulds
554905.03,2824013.68,3.13,Truck,Goulds
554912.04,2823603.10,3.27,Truck,Goulds
554927.00,2821967.88,3.27,Truck,Goulds
554920.14,2823197.03,2.13,Truck,Goulds
554927.61,2822377.55,3.52,Truck,Goulds
554927.21,2822792.97,3.29,Truck,Goulds
554939.25,2821519.40,3.23,Truck,Goulds
554948.63,2821155.90,3.41,Truck,Goulds
554958.32,2820751.32,2.66,Truck,Goulds
555138.34,2825654.29,3.11,Truck,Goulds
555141.81,2833881.46,2.68,Truck,Goulds
555144.16,2833471.67,2.77,Truck,Goulds
555137.70,2833069.14,3.06,Truck,Goulds
555177.22,2831846.27,2.87,Truck,Goulds
555182.27,2830972.86,3.15,Truck,Goulds
555183.55,2832653.69,3.06,Truck,Goulds
555203.54,2832246.09,3.11,Truck,Goulds
555214.69,2826424.74,2.85,Truck,Goulds
555239.46,2828563.99,2.32,Truck,Goulds
555227.89,2830552.07,2.98,Truck,Goulds
555249.89,2830140.49,2.72,Truck,Goulds
555298.94,2827731.86,3.21,Truck,Goulds
555308.97,2825250.59,2.73,Truck,Goulds
555308.42,2826074.83,3.15,Truck,Goulds
555348.15,2821161.29,3.11,Truck,Goulds
555366.95,2820756.44,2.28,Truck,Goulds
555385.02,2821975.90,3.36,Truck,Goulds
555388.98,2824021.78,3.20,Truck,Goulds
555367.56,2824436.78,3.35,Truck,Goulds
555412.90,2822800.44,4.01,Truck,Goulds
555521.71,2833897.98,2.66,Truck,Goulds
555555.31,2833483.01,2.83,Truck,Goulds
555570.52,2833086.81,2.81,Truck,Goulds
555583.07,2832682.69,3.37,Truck,Goulds
555596.26,2832275.68,3.37,Truck,Goulds
555628.23,2830990.68,3.01,Truck,Goulds
555608.42,2831864.28,3.29,Truck,Goulds
555619.45,2831356.29,3.32,Truck,Goulds
555631.79,2830565.14,3.16,Truck,Goulds
555650.90,2830132.14,2.87,Truck,Goulds
555657.81,2828858.66,2.94,Truck,Goulds
555684.44,2827703.62,3.44,Truck,Goulds
555686.64,2827298.06,4.16,Truck,Goulds
555682.46,2828307.62,3.09,Truck,Goulds
555702.76,2826071.87,3.44,Truck,Goulds
555695.81,2826488.27,3.47,Truck,Goulds
555726.16,2824796.17,3.13,Truck,Goulds
555711.56,2825668.88,3.04,Truck,Goulds
555717.41,2825277.41,2.75,Truck,Goulds
555735.85,2824054.75,3.04,Truck,Goulds
555739.38,2823665.62,3.16,Truck,Goulds
555744.29,2823239.78,2.71,Truck,Goulds
555750.08,2822415.61,3.54,Truck,Goulds
555750.35,2822842.12,1.41,Truck,Goulds
555757.51,2821983.85,3.39,Truck,Goulds
555764.85,2821571.29,3.09,Truck,Goulds
555772.35,2821165.68,3.02,Truck,Goulds
555777.86,2820693.00,2.80,Truck,Goulds
556045.42,2833500.71,2.29,Truck,Goulds
556054.47,2832314.77,2.91,Truck,Goulds
556043.32,2831008.78,3.23,Truck,Goulds
556024.30,2831877.47,2.99,Truck,Goulds
556035.00,2833100.40,2.32,Truck,Goulds
556059.04,2832810.00,2.09,Truck,Goulds
556085.49,2828318.52,2.82,Truck,Goulds
556094.53,2827716.32,2.51,Truck,Goulds
556095.94,2826885.84,3.62,Truck,Goulds
556085.49,2827285.82,3.31,Truck,Goulds
556101.39,2826493.94,3.46,Truck,Goulds
556105.78,2830137.32,3.72,Truck,Goulds
556128.30,2826072.73,3.40,Truck,Goulds
556120.37,2825675.55,2.86,Truck,Goulds
556135.61,2825267.17,3.04,Truck,Goulds
556145.21,2823628.45,2.98,Truck,Goulds
556166.78,2821991.56,3.59,Truck,Goulds
556176.65,2821581.47,3.18,Truck,Goulds
556170.25,2824440.62,2.47,Truck,Goulds
556189.90,2822812.44,1.86,Truck,Goulds
556189.48,2823220.49,3.16,Truck,Goulds
556197.61,2820767.38,2.65,Truck,Goulds
556192.89,2821168.82,3.42,Truck,Goulds
556391.34,2833111.25,2.31,Truck,Goulds
556421.81,2831920.89,3.11,Truck,Goulds
556406.27,2832844.37,2.12,Truck,Goulds
556440.49,2831563.02,2.73,Truck,Goulds
556465.66,2829754.74,3.46,Truck,Goulds
556460.63,2831027.22,3.75,Truck,Goulds
556471.75,2830150.51,3.74,Truck,Goulds
556466.84,2822405.34,2.88,Truck,Goulds
556482.35,2828347.29,3.63,Truck,Goulds
556492.50,2827306.35,2.92,Truck,Goulds
556504.96,2827721.26,3.07,Truck,Goulds
556502.80,2826903.73,3.10,Truck,Goulds
556513.07,2826493.76,3.38,Truck,Goulds
556526.84,2825678.78,2.80,Truck,Goulds
556530.71,2825269.55,3.14,Truck,Goulds
556535.70,2824905.01,3.12,Truck,Goulds
556539.61,2824445.31,2.80,Truck,Goulds
556545.58,2824055.51,3.12,Truck,Goulds
556550.42,2823638.44,2.90,Truck,Goulds
556556.88,2823227.17,2.81,Truck,Goulds
556590.89,2821621.14,3.38,Truck,Goulds
556564.80,2822818.90,1.94,Truck,Goulds
556588.11,2820773.81,2.78,Truck,Goulds
556587.84,2821181.77,3.11,Truck,Goulds
556604.57,2822001.22,3.65,Truck,Goulds
556647.68,2832549.78,2.45,Truck,Goulds
556779.25,2832847.32,2.30,Truck,Goulds
556737.81,2834004.35,2.01,Truck,Goulds
556828.67,2833527.53,2.73,Truck,Goulds
556883.64,2828127.88,4.04,Truck,Goulds
556893.05,2827719.52,3.87,Truck,Goulds
556891.56,2830163.31,3.60,Truck,Goulds
556886.29,2828946.02,1.98,Truck,Goulds
556907.68,2826902.84,3.10,Truck,Goulds
556930.26,2822007.40,3.94,Truck,Goulds
556949.39,2824450.58,3.09,Truck,Goulds
556953.35,2823651.24,2.82,Truck,Goulds
556963.04,2820815.52,2.73,Truck,Goulds
556970.96,2823235.24,2.98,Truck,Goulds
556999.42,2822825.30,2.65,Truck,Goulds
557010.79,2821575.83,2.23,Truck,Goulds
557002.29,2824024.31,2.76,Truck,Goulds
557042.63,2831818.51,2.87,Truck,Goulds
557059.84,2822367.68,2.69,Truck,Goulds
557065.39,2821187.80,2.80,Truck,Goulds
557171.70,2833945.93,2.11,Truck,Goulds
557191.05,2833539.65,2.52,Truck,Goulds
557222.19,2832877.61,2.40,Truck,Goulds
557206.74,2833212.10,2.43,Truck,Goulds
557238.58,2832317.12,3.09,Truck,Goulds
557257.50,2831570.98,3.68,Truck,Goulds
557278.92,2830576.36,3.88,Truck,Goulds
557293.55,2829357.39,3.87,Truck,Goulds
557286.45,2830174.16,3.60,Truck,Goulds
557310.30,2828137.02,2.63,Truck,Goulds
557297.29,2828981.18,2.56,Truck,Goulds
557304.55,2828563.41,3.01,Truck,Goulds
557329.32,2826912.29,3.82,Truck,Goulds
557334.62,2826507.22,3.34,Truck,Goulds
557322.83,2827369.88,3.03,Truck,Goulds
557340.65,2826098.53,3.26,Truck,Goulds
557346.08,2825690.30,3.54,Truck,Goulds
557351.29,2825287.95,3.52,Truck,Goulds
557357.47,2824875.42,3.17,Truck,Goulds
557369.66,2824061.24,2.83,Truck,Goulds
557374.53,2823658.52,2.60,Truck,Goulds
557363.75,2824456.98,2.99,Truck,Goulds
557378.68,2823243.10,2.71,Truck,Goulds
557383.71,2822832.19,2.60,Truck,Goulds
557398.30,2820784.23,1.85,Truck,Goulds
557399.64,2821192.04,2.11,Truck,Goulds
557470.88,2822000.79,1.75,Truck,Goulds
557597.21,2833557.96,2.37,Truck,Goulds
557730.97,2827731.53,2.23,Truck,Goulds
557671.86,2832874.26,2.08,Truck,Goulds
557686.79,2830482.75,3.37,Truck,Goulds
557692.64,2830176.11,3.52,Truck,Goulds
557736.54,2826922.53,3.34,Truck,Goulds
557754.74,2825287.62,3.46,Truck,Goulds
557715.64,2821584.52,1.67,Truck,Goulds
557748.37,2826104.14,3.40,Truck,Goulds
557743.49,2826532.54,3.48,Truck,Goulds
557748.43,2824880.30,2.94,Truck,Goulds
557772.07,2824065.14,2.69,Truck,Goulds
557771.74,2824463.29,2.97,Truck,Goulds
557716.65,2822836.45,2.80,Truck,Goulds
557792.58,2823661.14,2.58,Truck,Goulds
557762.60,2823249.96,2.31,Truck,Goulds
557798.31,2822429.99,2.39,Truck,Goulds
557814.55,2820790.99,1.83,Truck,Goulds
557812.41,2821196.00,1.98,Truck,Goulds
557805.16,2822020.72,2.08,Truck,Goulds
557938.65,2827733.93,2.73,Truck,Goulds
557963.15,2833575.48,2.44,Truck,Goulds
557958.67,2833983.90,2.34,Truck,Goulds
557924.30,2827124.78,2.59,Truck,Goulds
558008.82,2833050.89,1.47,Truck,Goulds
558056.48,2831948.31,2.01,Truck,Goulds
558099.80,2830177.33,3.12,Truck,Goulds
558124.12,2826515.73,3.97,Truck,Goulds
558157.03,2826109.72,3.62,Truck,Goulds
558173.57,2824880.81,3.19,Truck,Goulds
558167.87,2825298.52,3.59,Truck,Goulds
558162.30,2825696.82,4.01,Truck,Goulds
558181.49,2824468.93,3.06,Truck,Goulds
558185.52,2824065.17,2.74,Truck,Goulds
558203.55,2821235.79,2.45,Truck,Goulds
558189.38,2823663.49,2.57,Truck,Goulds
558222.05,2820792.24,1.04,Truck,Goulds
558210.07,2822432.91,2.08,Truck,Goulds
558221.26,2822018.98,1.79,Truck,Goulds
558209.71,2822842.00,1.95,Truck,Goulds
558230.70,2821711.03,1.51,Truck,Goulds
558223.30,2823256.45,2.16,Truck,Goulds
558371.26,2833593.64,2.40,Truck,Goulds
558369.55,2834001.97,2.28,Truck,Goulds
558334.76,2827740.12,3.40,Truck,Goulds
558484.33,2833116.52,2.67,Truck,Goulds
558505.02,2826930.94,1.56,Truck,Goulds
558454.41,2826520.14,4.05,Truck,Goulds
558549.99,2826115.51,3.22,Truck,Goulds
558468.55,2831790.51,1.75,Truck,Goulds
558573.76,2825301.14,3.71,Truck,Goulds
558564.28,2830181.56,4.04,Truck,Goulds
558584.70,2828895.92,2.37,Truck,Goulds
558576.81,2821639.79,1.54,Truck,Goulds
558593.38,2824069.68,2.44,Truck,Goulds
558610.96,2828554.39,1.68,Truck,Goulds
558589.51,2824474.53,2.78,Truck,Goulds
558599.75,2823667.18,2.36,Truck,Goulds
558603.25,2823258.49,1.74,Truck,Goulds
558620.84,2822440.13,2.20,Truck,Goulds
558612.97,2822850.16,1.70,Truck,Goulds
558784.09,2834283.87,2.53,Truck,Goulds
558777.30,2833612.66,2.80,Truck,Goulds
558813.28,2832960.15,2.56,Truck,Goulds
558833.97,2832554.57,3.39,Truck,Goulds
558856.40,2825291.52,4.10,Truck,Goulds
558860.45,2831978.20,2.94,Truck,Goulds
558923.46,2829782.38,2.99,Truck,Goulds
558920.96,2830182.41,2.95,Truck,Goulds
558984.76,2828374.59,1.67,Truck,Goulds
558963.04,2826120.78,2.23,Truck,Goulds
558966.09,2827132.40,3.22,Truck,Goulds
558745.55,2827745.42,3.61,Truck,Goulds
558958.20,2827750.36,2.67,Truck,Goulds
558989.03,2824892.00,3.26,Truck,Goulds
558998.35,2824480.47,2.94,Truck,Goulds
559010.21,2823670.22,2.69,Truck,Goulds
559002.01,2824080.10,3.04,Truck,Goulds
559017.82,2823262.14,2.21,Truck,Goulds
559025.29,2822856.08,1.99,Truck,Goulds
559032.48,2822447.42,2.14,Truck,Goulds
559036.81,2822131.87,2.01,Truck,Goulds
559038.09,2821231.10,2.39,Truck,Goulds
559056.52,2820642.48,1.58,Truck,Goulds
559089.73,2828568.74,3.33,Truck,Goulds
559163.90,2834045.57,2.81,Truck,Goulds
559252.04,2831983.17,3.54,Truck,Goulds
559290.16,2831606.78,3.34,Truck,Goulds
559323.16,2830522.36,2.06,Truck,Goulds
559320.05,2830772.03,2.91,Truck,Goulds
559330.69,2829780.76,2.82,Truck,Goulds
559342.87,2828968.96,3.90,Truck,Goulds
559359.97,2827754.93,2.39,Truck,Goulds
